dataset,model,integration,omic_combination,n_omics,balanced_accuracy_mean,macro_f1_mean,accuracy_mean,macro_precision_mean,macro_recall_mean,weighted_f1_mean,mcc_mean,cohen_kappa_mean,macro_roc_auc_ovr_mean,weighted_roc_auc_ovr_mean,macro_pr_auc_ovr_mean,log_loss_mean,brier_score_mean,ece_mean,balanced_accuracy_sd,macro_f1_sd,accuracy_sd,macro_precision_sd,macro_recall_sd,weighted_f1_sd,mcc_sd,cohen_kappa_sd,macro_roc_auc_ovr_sd,weighted_roc_auc_ovr_sd,macro_pr_auc_ovr_sd,log_loss_sd,brier_score_sd,ece_sd,n_units
TCGA-BRCA,integrao,late,mrna+dnam+rppa+mirna+cnv,5,0.8515564037346665,0.8279722866594397,0.8359955288376341,0.817920602565418,0.8515564037346665,0.8401757663062283,0.752336703533501,0.7475744651981197,0.9612118333236269,0.9538136295377901,0.8942782770046781,0.42217698832357325,0.24019555301836534,0.08095438541082271,0.006030138284296921,0.0052088907961212036,0.0011368811848241536,0.0032506780330821615,0.006030138284296921,0.0005657614205997301,0.0017290741340261172,0.0018051112951720102,0.0004660542742314142,0.001522694412799661,0.0015113193970338287,0.004242763437232202,0.0036276264651524037,0.003428614708607651,3
TCGA-BRCA,logreg_early,early,mrna+dnam+rppa+mirna+cnv,5,0.8173054669876181,0.81272346677705,0.8328307840056567,0.8174626805183983,0.8173054669876181,0.8340361199775369,0.7410881967688979,0.7383450066778553,0.9554722165936756,0.9476934700356717,0.8813899384772726,0.5412973775151017,0.2528272693677695,0.09583558391655729,0.006643258855716634,0.005121428130943933,0.004382914982745165,0.003824489333636678,0.006643258855716634,0.0045563043549645904,0.006576790286288082,0.006998198101966577,0.0007467045331135333,0.0010097255057588128,0.0014660273883623117,0.007889965440614051,0.005478007008155679,0.0027568712003730113,3
TCGA-BRCA,logreg_late,late,mrna+dnam+rppa+mirna+cnv,5,0.8382772347032922,0.8277350455958893,0.8384907619576549,0.8290376940627439,0.8382772347032922,0.839684806112297,0.7560531009761909,0.7513432778835846,0.955647648279657,0.9450195692497688,0.8854545124555879,0.5118443404301644,0.27222814881227536,0.1581851741236678,0.0016069246277205795,0.0012544837966689966,0.002937981120083316,0.0023568954484325952,0.0016069246277205795,0.0030590010793740455,0.004209950713005932,0.004431261292771567,0.0008886425132163209,0.001296766934183808,0.000715199428429311,0.0038645122600809443,0.0018284403158152118,0.0022472032750602976,3
TCGA-BRCA,mofa,early,mrna+dnam+rppa+mirna+cnv,5,0.7146181745344155,0.6725729484742597,0.7024768686104719,0.6733670390463229,0.7146181745344155,0.7056414109188075,0.5800127721308931,0.5698646464409632,0.8719692980496759,0.8667327504624471,0.7170665789734052,2.985201815406359,0.4743880445232045,0.17583083311159478,0.003965472244555309,0.005528812883764178,0.005679220008961424,0.00380053712364883,0.003965472244555309,0.006965362572407962,0.005925802710770224,0.006217065017880031,0.004252063248752349,0.005078805758987444,0.006228528668789612,0.45522153287492734,0.016102349314532853,0.008724298410607782,3
TCGA-BRCA,pca_logreg,early,mrna+dnam+rppa+mirna+cnv,5,0.8359061471139201,0.8226489987416955,0.8353619406652647,0.819176599380255,0.8359061471139201,0.8394658964541982,0.7479869281240262,0.7446107424178848,0.9576732614199418,0.9521505316145508,0.8889507057697422,0.5469257121136469,0.24955444880404865,0.09656209229173629,0.003923797899876721,0.0039186732309607585,0.004676582386598902,0.00465471248487904,0.003923797899876721,0.004660755248373551,0.007027531428251043,0.00731315276827787,0.0006516524458391308,0.0012259705427466443,0.0014958384139328708,0.01563650327265086,0.005977649013602602,0.0027403586752305256,3
TCGA-BRCA,pnet,early,mrna+dnam+rppa+mirna+cnv,5,0.7742840401919273,0.784927043625541,0.8228896301848981,0.8179299627453439,0.7742840401919273,0.8115998756903577,0.7153289361332918,0.7063062127210161,0.9055478783930159,0.8954466554198843,0.8293024816247795,1.284467048961381,0.26906194036478287,0.08548674536133405,0.010249120897923904,0.0064645760431079795,0.003460034573412302,0.0020854464682347066,0.010249120897923904,0.004885333211900085,0.0062060072971314665,0.007633166936208514,0.01428514421743744,0.014050106794190585,0.015556849842786491,0.27205358155126014,0.010034271175560924,0.006079414562134007,3
TCGA-BRCA,svm_early,early,mrna+dnam+rppa+mirna+cnv,5,0.731971619247413,0.7103585873528546,0.7438125169975903,0.7182025756749809,0.731971619247413,0.7312550847945064,0.6295508455960597,0.6224783449181645,0.9179083988768989,0.9103348016313734,0.804644734273773,0.7668491308684766,0.3130950145851799,0.10987031180720408,0.004535728255648479,0.004062138570048157,0.003851510556591036,0.004061101780621367,0.004535728255648479,0.003936340189248527,0.0054482605165345754,0.005922139188386648,0.001401393299873081,0.0015723905353761279,0.0035915584030694545,0.008303531627313824,0.00649327295643546,0.0034849194055611822,3
TCGA-KIPAN,integrao,late,mrna+dnam+rppa+mirna+cnv,5,0.8591795582258165,0.8373348970330187,0.8814690505422549,0.8369051137683273,0.8591795582258165,0.8826319819201234,0.788179109533473,0.7832074545063308,0.9407010324239029,0.9411988776637332,0.8700289807690607,0.7559736843359207,0.22313470427618753,0.13622444831196748,0.012356693689362161,0.01134536389101538,0.005878922771099654,0.008521642411218108,0.012356693689362161,0.006468799326930148,0.012126856701699744,0.012056707370270805,0.006399923186551977,0.0030089489557015825,0.007981113744063035,0.05525669985219066,0.00621209037594905,0.0035266319556664185,3
TCGA-KIPAN,logreg_early,early,mrna+dnam+rppa+mirna+cnv,5,0.9350586808914608,0.9268344980103059,0.947910334858116,0.922701451792645,0.9350586808914608,0.9481748897437007,0.9039767342056249,0.9031562737851792,0.9863438924155147,0.9870274916339,0.9688504870616835,0.24678829369903668,0.08716882301479449,0.04524470796874069,0.00302054387602543,0.0019265529424498404,0.0016400448284167174,0.0008216194373717617,0.00302054387602543,0.0017063682981546533,0.0027560347867589007,0.0029258094657886075,0.0022474780532009656,0.0018293506563172512,0.0019046794604880464,0.006301623642024123,0.001291239213780821,0.0010289624658563793,3
TCGA-KIPAN,logreg_late,late,mrna+dnam+rppa+mirna+cnv,5,0.9530594704981254,0.9373892836174829,0.9545835297068589,0.9260278880874303,0.9530594704981254,0.9550696805369281,0.9179563603885935,0.9168297575635416,0.9896266949703141,0.9883107064065356,0.9720160078658696,0.23024639905891928,0.11148749947048901,0.11880490184872217,0.002402061567524783,0.0034256230283626183,0.0033784588104412783,0.004604146016532603,0.002402061567524783,0.0033095785785007335,0.005760313086264718,0.005860584652251838,0.0009908564199344887,0.0017852316539569472,0.0021453993047283932,0.004395052131018564,0.0027926138913531165,0.000751912564659109,3
TCGA-KIPAN,mofa,early,mrna+dnam+rppa+mirna+cnv,5,0.6637957220917209,0.5931716050782917,0.663099708586468,0.6206843198577926,0.6637957220917209,0.6820746115791642,0.4857380510094313,0.4617764339353812,0.7759953672906917,0.7852782768974232,0.632370092239019,6.035565342092089,0.6150016094600698,0.28738955047812653,0.005043810917751762,0.006975401071856585,0.008534372508580704,0.004767730586569205,0.005043810917751762,0.0085323611175817,0.010712857024558304,0.01107561298000105,0.0051997932500578384,0.005334885425252955,0.004537319146468182,0.28647712227920286,0.01610878702267274,0.008201177740472748,3
TCGA-KIPAN,pca_logreg,early,mrna+dnam+rppa+mirna+cnv,5,0.8891769014300448,0.8851543615970887,0.910946032976856,0.8899117185112709,0.8891769014300448,0.9116819930384296,0.8370178232185054,0.8346222737945662,0.9748396938037147,0.9762680590594802,0.9398024957646154,0.42076414567546205,0.14736769252330692,0.09176047480980531,0.0028274916214445535,0.003751861850057967,0.002319158233425164,0.00401468298166937,0.0028274916214445535,0.0022162223425058617,0.004434798877330689,0.0042692737614601125,0.003633742688151068,0.003057519819102135,0.006128229822006341,0.04078369797300389,0.0037607200717200014,0.0013464796962896616,3
