dataset,model,include_non_intersection_frac,balanced_accuracy_mean,macro_f1_mean,accuracy_mean,macro_precision_mean,macro_recall_mean,weighted_f1_mean,mcc_mean,cohen_kappa_mean,macro_roc_auc_ovr_mean,weighted_roc_auc_ovr_mean,macro_pr_auc_ovr_mean,log_loss_mean,brier_score_mean,ece_mean,balanced_accuracy_sd,macro_f1_sd,accuracy_sd,macro_precision_sd,macro_recall_sd,weighted_f1_sd,mcc_sd,cohen_kappa_sd,macro_roc_auc_ovr_sd,weighted_roc_auc_ovr_sd,macro_pr_auc_ovr_sd,log_loss_sd,brier_score_sd,ece_sd,n_units
TCGA-BRCA,logreg_early,0.0,0.8719384071520643,0.8690271259734553,0.8774633123689729,0.8736049999313567,0.8719384071520643,0.8789094243518932,0.8017077364269558,0.7992548248920244,0.9700209958217131,0.9637802444016583,0.9255520983252404,0.4291069872348385,0.19213753796210473,0.08559568736812205,0.002433285271118219,0.0018551398250305484,0.0030744254457154125,0.004867094209295276,0.002433285271118219,0.0028909038452764177,0.006150970610852681,0.00539024147868409,0.0009784765510826416,0.0006243824053666751,0.0042741086251298025,0.0038817937279121456,0.002469649924570879,0.0033439492020828137,3
TCGA-BRCA,logreg_early,0.25,0.8527209495706701,0.8535071508867178,0.8698087747706068,0.8623719153501854,0.8527209495706701,0.8701231330749756,0.7887951845224151,0.7871441839181879,0.9707550603013155,0.9650945040052782,0.9243340435690675,0.4233429039773145,0.1953761619280349,0.08203509341866982,0.013749095192541064,0.012676994108426435,0.010249118164873545,0.008468742025409662,0.013749095192541064,0.01018948035902621,0.015848361119122904,0.016359828687247592,0.0018841056510872456,0.0015902043859472269,0.007303437048050137,0.01542799351037325,0.012759709379934633,0.004993400720098553,3
TCGA-BRCA,logreg_early,0.5,0.8529585255644939,0.8511729815585215,0.8653526924489595,0.8554475437674457,0.8529585255644939,0.8670959345839684,0.7858114092588254,0.7841005543140258,0.9690564763287609,0.9629491177538823,0.9141920414672405,0.46498569063967937,0.20772008326396305,0.084863335996342,0.004708265366181063,0.004172327695747526,0.005306790135266681,0.005080856254090358,0.004708265366181063,0.004636701086432244,0.0076881148983064624,0.007627245199317544,0.001736152435991918,0.0027061265271315794,0.005737222967168475,0.02690549776304961,0.008249507300511653,0.0022530045690435413,3
TCGA-BRCA,logreg_early,0.75,0.849085516271549,0.8451430137042683,0.8603521554341227,0.8487991222799365,0.849085516271549,0.862327620194054,0.7809942080408946,0.7793339540216312,0.9690375205816548,0.9633590195432173,0.915867548131207,0.4782198813943053,0.21444538599138593,0.08506759397045205,0.0056394583857465415,0.004826190941063027,0.002962844762590029,0.003908367683778425,0.0056394583857465415,0.0030695399294358044,0.003748987828301521,0.003809543539234389,0.0010032491249689626,0.002249482606172522,0.0037803870684933677,0.014058212754585101,0.006825600544439642,0.002953554578259539,3
TCGA-BRCA,logreg_early,1.0,0.8464684016067926,0.8425702905603712,0.8575866202510939,0.8450583473547523,0.8464684016067926,0.8591772392330994,0.7775110488047231,0.7759054658356793,0.9681166767395987,0.9619365561145893,0.9120156505088532,0.506686346759725,0.22073532838751242,0.0868052698248748,0.0034578006943390906,0.001595792621429433,0.001654428720295864,0.00395720411948088,0.0034578006943390906,0.0017692458354299197,0.0024359687673694303,0.0026667212467199565,0.0011739611624552843,0.0011712080950705005,0.0023543405088457744,0.006869486601546972,0.0011891361264024004,0.002695404952047842,3
TCGA-BRCA,logreg_late,0.0,0.8766533934943409,0.8704841754251674,0.8791404612159329,0.873039823537708,0.8766533934943409,0.8807142145809849,0.8049839534629549,0.8023929317151869,0.970391788578557,0.9626599126776534,0.9301442266526511,0.48607002626188733,0.24530496747526165,0.2070270393732536,0.0010190054978498953,0.0011566989899778409,0.00227489878555665,0.0004885562064477507,0.0010190054978498953,0.0019586965979070483,0.0030656517736784884,0.003517945850083584,0.0020844710987907725,0.0021960207555351205,0.004339257492155036,0.005904330092197345,0.0035207824256592007,0.0047709408667120125,3
TCGA-BRCA,logreg_late,0.25,0.8709602075031758,0.8640709718908323,0.8743677230318451,0.864886575516874,0.8709602075031758,0.8753762725873031,0.7985814053181354,0.796419650945686,0.9696201765373305,0.9621225091292174,0.9236026478560043,0.48440992960367263,0.247271858687341,0.2000370463270569,0.011436632646853464,0.010643791630079842,0.00972171783590867,0.009426933469807249,0.011436632646853464,0.009802566391219805,0.01538569687661396,0.015191465502895206,0.0026600639774758514,0.002363136647357222,0.006685954982472926,0.007795925354247654,0.0044500195366267165,0.006225765955503755,3
TCGA-BRCA,logreg_late,0.5,0.8676419250853216,0.855828092259901,0.8683774982755068,0.851770942373958,0.8676419250853216,0.8701914397558653,0.792469472027684,0.7902677208737594,0.9681316884567921,0.9610103773596957,0.9135203302732234,0.4942660464670894,0.25211466816497513,0.1944514344703677,0.006547202743428537,0.003645082617169103,0.00113642166179737,0.002463516827387906,0.006547202743428537,0.0005988931960958143,0.0011975384926804448,0.0015436504131442162,0.001075907792307444,0.0014573748321057222,0.009544824812807716,0.009314515757100343,0.005554232903478889,0.004346228035393462,3
TCGA-BRCA,logreg_late,0.75,0.8684111017740134,0.8545463836687417,0.8669095324833029,0.848726469017056,0.8684111017740134,0.8689284962348963,0.7932913072618839,0.7911083925796479,0.9695680490894633,0.963100340107847,0.920497644139492,0.48802011906396586,0.24794135050577593,0.19108095251118698,0.0018679538872586623,0.002679410288538218,0.002903459314261683,0.004390583301644358,0.0018679538872586623,0.002781744916583315,0.0043191768903745485,0.003805343348062892,0.00188386842522965,0.002305736836058632,0.004208352425721182,0.003231966649131277,0.0013232696819068571,0.002755618102223073,3
TCGA-BRCA,logreg_late,1.0,0.8669616494369011,0.8518403189121867,0.8639042244305403,0.843147506556923,0.8669616494369011,0.8656235834486133,0.7892640468615145,0.7875034293164044,0.9682398773873492,0.9614946349800175,0.9130461093128229,0.4944562893387779,0.2521400223565326,0.188328287552913,0.004738746536845971,0.0025544159513362606,0.004789086746796698,0.00203245901125807,0.004738746536845971,0.0048587665988765825,0.008262882774437551,0.007974474265563438,0.0013252921435062618,0.0014637486565593294,0.00415270524634455,0.0017041471360294616,0.0018113422201715655,0.0026824588960111338,3
