dataset,model,n_omics,omic_combination,balanced_accuracy_mean,macro_f1_mean,accuracy_mean,macro_precision_mean,macro_recall_mean,weighted_f1_mean,mcc_mean,cohen_kappa_mean,macro_roc_auc_ovr_mean,weighted_roc_auc_ovr_mean,macro_pr_auc_ovr_mean,log_loss_mean,brier_score_mean,ece_mean,balanced_accuracy_sd,macro_f1_sd,accuracy_sd,macro_precision_sd,macro_recall_sd,weighted_f1_sd,mcc_sd,cohen_kappa_sd,macro_roc_auc_ovr_sd,weighted_roc_auc_ovr_sd,macro_pr_auc_ovr_sd,log_loss_sd,brier_score_sd,ece_sd,n_units
TCGA-BRCA,integrao,1,cnv,0.46131481070314645,0.4102387515811712,0.5307527450619556,0.3948827059487383,0.46131481070314645,0.5020630259495755,0.24394480548596476,0.23784339164346546,0.737909158250635,0.7287625048624614,0.4987578481242614,1.1487052619581253,0.6141367355049302,0.1414939677390485,0.015732003605486284,0.016882464542198754,0.01654002861980583,0.015215708072095721,0.015732003605486284,0.013410285450643437,0.018153955855732158,0.018959840621477948,0.007713551305262337,0.0060778607119988766,0.00836346914803108,0.03844587173398569,0.013340131290837477,0.01589080699643297,3
TCGA-BRCA,integrao,1,dnam,0.5980985066611003,0.5891323787442276,0.6226858667648142,0.6571158785327774,0.5980985066611003,0.6347931204716573,0.4479140515803705,0.4235363752832802,0.7961837515613103,0.7843486380524983,0.6130086964986234,1.7248833136478614,0.5530615225894283,0.1688644871439214,0.007077523058248283,0.007888619601239488,0.009970452638911307,0.005789402918406999,0.007077523058248283,0.005767315089994386,0.005687944486744829,0.005846321557959486,0.01165412159280772,0.013671563383557827,0.0016895770955791584,0.06026537290034909,0.014026665774152155,0.012006575018330275,3
TCGA-BRCA,integrao,1,mirna,0.7392083655287142,0.7170512225819259,0.7497561648877439,0.7162650551054691,0.7392083655287142,0.7569552133029172,0.6247346444345112,0.6171366274254931,0.9159882539235066,0.9124818795425186,0.7895822402392406,0.6713021401459077,0.3496647206665214,0.0911563934883937,0.004284429485587684,0.00178425978831101,0.003590018283150696,0.0017903644669807117,0.004284429485587684,0.0025913963855615334,0.005074466544615636,0.00521001403199124,0.0033730292728777725,0.002847470990355121,0.004715935801785078,0.04096668437574376,0.0026207451516687312,0.004745588810975967,3
TCGA-BRCA,integrao,1,mrna,0.7891295334917454,0.7667928186062221,0.7777193749233223,0.7615665242416306,0.7891295334917454,0.7843261779000085,0.6675077811388482,0.6607902302812775,0.9319133160104399,0.9221712212012321,0.8253494761698487,0.6807556198448168,0.32270005881773617,0.07999376274088588,0.0040219195867193325,0.007854270601360645,0.007711362286844053,0.011357382359424142,0.0040219195867193325,0.007504676851647897,0.010126328734660281,0.010463770743034147,0.006163345089518567,0.006359515544547902,0.008617486680360394,0.07406931713384493,0.011572805361287377,0.0022543212513802995,3
TCGA-BRCA,integrao,1,rppa,0.7013298154911821,0.6816222746769897,0.7008561066126856,0.706817013093021,0.7013298154911821,0.7121982487562285,0.5641317874802594,0.548136997119914,0.8826062372757786,0.8695700268734966,0.7594311860094728,0.9838773382032642,0.44943580309834436,0.13980771061856748,0.008947716034289593,0.005634882357429278,0.0014838283696935902,0.004895401538307244,0.008947716034289593,0.0011689449643860499,0.00454657673457446,0.003054696763968501,0.004382444721296658,0.0033139233579991463,0.011757643511822633,0.04764656145252467,0.011692222146226429,0.012560312550306405,3
TCGA-BRCA,integrao,2,dnam+cnv,0.6720560358474333,0.6376231875213618,0.6647512575144154,0.6243192599990137,0.6720560358474333,0.6699873290957316,0.5009713310395443,0.4942826220871645,0.8538297694734912,0.8396395504367328,0.6814544072538581,0.883771982359542,0.46929010220904116,0.09038771469750007,0.010978837638935032,0.009744808201833955,0.007532922481444373,0.008548620393716656,0.010978837638935032,0.006035582967245679,0.010664436804536416,0.0108645784758973,0.006242334605982917,0.005889887489452543,0.0013069197450690422,0.014318941128159676,0.006708190198462813,0.005609479575479442,3
TCGA-BRCA,integrao,2,dnam+mirna,0.7909076303657262,0.7664194723268118,0.7865254263280579,0.7561905782136481,0.7909076303657262,0.7921853780844197,0.6777635697852213,0.6730299120723034,0.9305939460504855,0.9253893594902437,0.8180223838658692,0.6011216128148098,0.3077525949810045,0.06655572303805557,0.006182774977232308,0.005303354423790326,0.004474926311198555,0.0039630650134574825,0.006182774977232308,0.0038552595620123076,0.005288776572879746,0.005975747222184734,0.003831727798157283,0.003323564462944748,0.0028247439021009623,0.028407408020936407,0.006955024604301532,0.008424080608943065,3
TCGA-BRCA,integrao,2,dnam+rppa,0.7919442267049049,0.7688324913193795,0.779416252607042,0.7635641387078107,0.7919442267049049,0.7848496879318407,0.6674323063922497,0.6614117362381446,0.9248812186622167,0.9133697354721845,0.8247469222777667,0.7188598003563197,0.323744975660784,0.08326897723965104,0.003550064420972575,0.0034338140884272394,0.0020436680378657667,0.004365250153321947,0.003550064420972575,0.001458730633061496,0.003907181676422937,0.0033781607319539587,0.0029805867140590124,0.004386348521896429,0.006627097376181722,0.07252427032507071,0.00889216245146472,0.004630848938943563,3
TCGA-BRCA,integrao,2,mirna+cnv,0.707610941581941,0.6737243875678672,0.7096606244632561,0.6596615550082685,0.707610941581941,0.7156178828256318,0.5677793293229989,0.5616670887887785,0.8799396837696135,0.8703505802101797,0.7137818293849438,0.802033965568957,0.4273160959266276,0.07826392103458359,0.016948363782476477,0.013120837871991699,0.010934647652945153,0.008103215782195004,0.016948363782476477,0.011020827217994722,0.015865526210927808,0.016527857672409507,0.010932919321284464,0.011507878510296124,0.013269803240469231,0.023828946487680344,0.017521506673219445,0.0034790623518477994,3
TCGA-BRCA,integrao,2,mrna+cnv,0.749496686986288,0.7146584851369703,0.7346054165133112,0.698341192244149,0.749496686986288,0.7394395497328908,0.6055620040192234,0.5996487412883555,0.890224564556755,0.875513237622631,0.7376941131570778,0.7443606037301055,0.40266585107650504,0.0796405030816589,0.006870294910478321,0.005930810860414519,0.0015455736896479587,0.006891959063361195,0.006870294910478321,0.0005943296257009837,0.0029065426624995867,0.0021862997142292648,0.0015542880933775251,0.0014465281508048958,0.004930213140035127,0.013039969923739096,0.002492448523574671,0.004787007808463512,3
TCGA-BRCA,integrao,2,mrna+dnam,0.8280204992576549,0.8023247496597353,0.8093753833885412,0.7909327176526947,0.8280204992576549,0.8142643983920731,0.7145810846573385,0.7088107974893871,0.9488237872210695,0.9388576292386411,0.8593457909237662,0.48583373403977553,0.2749123781812393,0.06433407193174888,0.006417054952795049,0.004475439108236454,0.0030889698044005765,0.003420675607494414,0.006417054952795049,0.0035019646194517358,0.005649966073819272,0.005342935080391512,0.0018230190357613535,0.0016121932493905985,0.0045914190849208536,0.011687194803037386,0.0026708250955622317,0.007050284179850563,3
TCGA-BRCA,integrao,2,mrna+mirna,0.834504980509638,0.808572121120235,0.8235891301680774,0.7961556110359576,0.834504980509638,0.8281774802280285,0.7357490344813694,0.730405279851551,0.9585969389712458,0.9506987108687518,0.8777210992581631,0.45429922582526466,0.2536914211192916,0.06345194869069047,0.00443142238125703,0.00401027972383412,0.0016992311712342094,0.004090499786734264,0.00443142238125703,0.0015680642053888926,0.003194703896207705,0.0029837486544836782,0.0009003190928999897,0.0012797467260313388,0.0060827528941304315,0.01502764042576908,0.0008786025586157707,0.005615139904131634,3
TCGA-BRCA,integrao,2,mrna+rppa,0.8510988778889668,0.8264598504739061,0.8327885382161698,0.8144130378096103,0.8510988778889668,0.8368087140229253,0.7477998277660038,0.7430482615646339,0.9585131365239915,0.9500868647484629,0.892882905097223,0.44247680575540255,0.2438060083295566,0.062146552035334625,0.0033909258529145458,0.003412105148597098,0.0033055250441581894,0.0034697747332763725,0.0033909258529145458,0.0034048302837222967,0.005179623740523549,0.005200745990172125,0.0008387222200487895,0.0016261619150413987,0.0039041257020087836,0.010463841154500999,0.0027185331014400616,0.005015584475997941,3
TCGA-BRCA,integrao,2,rppa+cnv,0.6795148498544984,0.6495808200029795,0.6869624892651208,0.6373372568976868,0.6795148498544984,0.693007597662044,0.5329646744565303,0.5267710632132808,0.8634785831914457,0.8532989463749292,0.6761967612772614,0.8686187356900663,0.4551602558267416,0.08281880898607681,0.0033644679977494684,0.005294019466457991,0.005910517985982373,0.005771666181845103,0.0033644679977494684,0.006088496296555594,0.008273028022532717,0.008553909216889725,0.0033868580104829513,0.003314279832731642,0.005458723579918839,0.0168048339537732,0.006957084964060581,0.010226733599740015,3
TCGA-BRCA,integrao,2,rppa+mirna,0.8228834122795535,0.7989610107934237,0.8183194546681389,0.7879766088263466,0.8228834122795535,0.8222727908111773,0.7239195165683006,0.719959409968174,0.9510412285338244,0.9461201280403877,0.8684518773984721,0.49769976000769817,0.2591753359974442,0.060753059884502296,0.0022949142172089413,0.004778380596215348,0.004149044911312763,0.00921599971432196,0.0022949142172089413,0.0036895370582917123,0.005701714653203336,0.005694695972776698,0.0027870935242878753,0.0034362146716362947,0.00848482943512012,0.02409868011602612,0.004529337765793107,0.0023880925660662,3
TCGA-BRCA,integrao,3,dnam+mirna+cnv,0.7859426093829787,0.757617041322307,0.7751548889706784,0.7452166218068323,0.7859426093829787,0.7806594888177077,0.6630111174552545,0.6574140315663858,0.926242093389026,0.9163661616370522,0.8180402795211271,0.5986479758033912,0.3281870386558841,0.07165403424833362,0.006027518305302056,0.00546580664278042,0.0023674019530098168,0.00470222888375113,0.006027518305302056,0.0015806036984952758,0.002361818277269649,0.002889962052442209,0.0005768543592711429,0.0006103691511279448,0.002364926439670421,0.013180199379809373,0.005609885913105677,0.003343961068301479,3
TCGA-BRCA,integrao,3,dnam+rppa+cnv,0.7770347378865151,0.7539752745758371,0.7707869433198381,0.7444798774092338,0.7770347378865151,0.7754407385539489,0.653193405613461,0.6485029247475366,0.9215563941179914,0.9099218392591558,0.8059752367892566,0.6284749619770366,0.3377864963741421,0.07292064494234783,0.008650761262898205,0.0113267744101096,0.009450594584841562,0.012707208233666731,0.008650761262898205,0.007982698396588796,0.012692919066356067,0.012612842595498365,0.002748919365854634,0.0031630001306964138,0.0028701616803008495,0.02699071294046734,0.010768198242557309,0.0031214218794464654,3
TCGA-BRCA,integrao,3,dnam+rppa+mirna,0.84078644184948,0.8194592692967859,0.8299690988835726,0.8094194069056805,0.84078644184948,0.8341117679826978,0.7420581861831126,0.7380229651264019,0.9588269352835205,0.952403688884136,0.887083476330537,0.4356885362822025,0.23990196521513654,0.058487594393485914,0.0062229001620587795,0.004826365192239506,0.005953169531976842,0.003269817281656619,0.0062229001620587795,0.005217728169170647,0.008549181429021802,0.008884459492294508,0.0017709905323792692,0.0017804566427189002,0.0020024720740641393,0.012223552583489044,0.005003362829220168,0.0018891640578946945,3
