dataset,model,n_patients,balanced_accuracy,macro_f1,accuracy,mcc,macro_roc_auc_ovr,n_units
TCGA-BRCA,integrao,20,0.433 +/- 0.120,0.291 +/- 0.094,0.500 +/- 0.141,0.264 +/- 0.189,0.670 +/- 0.066,3
TCGA-BRCA,integrao,50,0.542 +/- 0.076,0.464 +/- 0.057,0.607 +/- 0.053,0.429 +/- 0.068,0.747 +/- 0.074,3
TCGA-BRCA,integrao,100,0.653 +/- 0.046,0.622 +/- 0.046,0.701 +/- 0.045,0.555 +/- 0.068,0.839 +/- 0.043,3
TCGA-BRCA,integrao,200,0.740 +/- 0.094,0.707 +/- 0.095,0.740 +/- 0.091,0.617 +/- 0.127,0.885 +/- 0.063,3
TCGA-BRCA,integrao,300,0.808 +/- 0.013,0.778 +/- 0.018,0.793 +/- 0.013,0.691 +/- 0.018,0.942 +/- 0.006,3
TCGA-BRCA,integrao,400,0.814 +/- 0.036,0.783 +/- 0.041,0.800 +/- 0.037,0.703 +/- 0.055,0.934 +/- 0.024,3
TCGA-BRCA,integrao,500,0.852 +/- 0.014,0.830 +/- 0.013,0.838 +/- 0.008,0.755 +/- 0.011,0.961 +/- 0.003,3
TCGA-BRCA,logreg_early,20,0.511 +/- 0.126,0.351 +/- 0.112,0.600 +/- 0.100,0.347 +/- 0.218,0.813 +/- 0.201,3
TCGA-BRCA,logreg_early,50,0.638 +/- 0.073,0.582 +/- 0.076,0.747 +/- 0.031,0.589 +/- 0.073,0.925 +/- 0.015,3
TCGA-BRCA,logreg_early,100,0.758 +/- 0.028,0.750 +/- 0.040,0.850 +/- 0.035,0.763 +/- 0.058,0.941 +/- 0.025,3
TCGA-BRCA,logreg_early,200,0.800 +/- 0.026,0.810 +/- 0.020,0.850 +/- 0.010,0.761 +/- 0.018,0.946 +/- 0.022,3
TCGA-BRCA,logreg_early,300,0.791 +/- 0.003,0.792 +/- 0.004,0.812 +/- 0.002,0.703 +/- 0.005,0.943 +/- 0.004,3
TCGA-BRCA,logreg_early,400,0.823 +/- 0.027,0.821 +/- 0.020,0.842 +/- 0.025,0.753 +/- 0.039,0.957 +/- 0.007,3
TCGA-BRCA,logreg_early,500,0.834 +/- 0.021,0.838 +/- 0.020,0.858 +/- 0.018,0.775 +/- 0.028,0.965 +/- 0.004,3
TCGA-BRCA,logreg_late,20,0.522 +/- 0.135,0.337 +/- 0.106,0.633 +/- 0.115,0.378 +/- 0.233,0.874 +/- 0.090,3
TCGA-BRCA,logreg_late,50,0.677 +/- 0.049,0.638 +/- 0.053,0.773 +/- 0.076,0.642 +/- 0.117,0.937 +/- 0.018,3
TCGA-BRCA,logreg_late,100,0.811 +/- 0.022,0.820 +/- 0.021,0.853 +/- 0.015,0.772 +/- 0.024,0.958 +/- 0.026,3
TCGA-BRCA,logreg_late,200,0.813 +/- 0.034,0.821 +/- 0.036,0.848 +/- 0.016,0.760 +/- 0.030,0.953 +/- 0.015,3
TCGA-BRCA,logreg_late,300,0.839 +/- 0.011,0.838 +/- 0.012,0.848 +/- 0.011,0.761 +/- 0.016,0.947 +/- 0.004,3
TCGA-BRCA,logreg_late,400,0.853 +/- 0.035,0.849 +/- 0.040,0.867 +/- 0.028,0.791 +/- 0.041,0.963 +/- 0.013,3
TCGA-BRCA,logreg_late,500,0.853 +/- 0.008,0.855 +/- 0.006,0.864 +/- 0.007,0.785 +/- 0.012,0.965 +/- 0.002,3
TCGA-BRCA,mofa,20,0.578 +/- 0.195,0.390 +/- 0.160,0.600 +/- 0.218,0.449 +/- 0.317,0.752 +/- 0.231,3
TCGA-BRCA,mofa,50,0.601 +/- 0.138,0.513 +/- 0.118,0.633 +/- 0.110,0.481 +/- 0.159,0.736 +/- 0.080,3
TCGA-BRCA,mofa,100,0.681 +/- 0.034,0.648 +/- 0.044,0.683 +/- 0.059,0.541 +/- 0.074,0.758 +/- 0.010,3
TCGA-BRCA,mofa,200,0.745 +/- 0.031,0.695 +/- 0.025,0.728 +/- 0.036,0.611 +/- 0.043,0.853 +/- 0.017,3
TCGA-BRCA,mofa,300,0.776 +/- 0.043,0.739 +/- 0.032,0.756 +/- 0.024,0.643 +/- 0.044,0.899 +/- 0.033,3
TCGA-BRCA,mofa,400,0.774 +/- 0.046,0.739 +/- 0.052,0.751 +/- 0.034,0.641 +/- 0.053,0.904 +/- 0.041,3
TCGA-BRCA,mofa,500,0.803 +/- 0.029,0.768 +/- 0.026,0.787 +/- 0.016,0.690 +/- 0.021,0.914 +/- 0.028,3
TCGA-BRCA,pca_logreg,20,0.211 +/- 0.069,0.146 +/- 0.055,0.217 +/- 0.058,-0.036 +/- 0.103,0.469 +/- 0.061,3
TCGA-BRCA,pca_logreg,50,0.574 +/- 0.008,0.517 +/- 0.020,0.667 +/- 0.070,0.469 +/- 0.102,0.791 +/- 0.055,3
TCGA-BRCA,pca_logreg,100,0.666 +/- 0.047,0.659 +/- 0.057,0.780 +/- 0.062,0.650 +/- 0.108,0.906 +/- 0.007,3
TCGA-BRCA,pca_logreg,200,0.746 +/- 0.033,0.749 +/- 0.048,0.808 +/- 0.048,0.696 +/- 0.071,0.925 +/- 0.039,3
TCGA-BRCA,pca_logreg,300,0.767 +/- 0.016,0.771 +/- 0.005,0.804 +/- 0.010,0.692 +/- 0.011,0.920 +/- 0.006,3
TCGA-BRCA,pca_logreg,400,0.785 +/- 0.040,0.781 +/- 0.046,0.809 +/- 0.040,0.705 +/- 0.061,0.933 +/- 0.014,3
TCGA-BRCA,pca_logreg,500,0.822 +/- 0.017,0.816 +/- 0.016,0.838 +/- 0.010,0.749 +/- 0.018,0.952 +/- 0.004,3
TCGA-BRCA,pnet,20,0.378 +/- 0.051,0.229 +/- 0.064,0.433 +/- 0.029,0.116 +/- 0.076,0.568 +/- 0.022,3
TCGA-BRCA,pnet,50,0.539 +/- 0.026,0.485 +/- 0.047,0.673 +/- 0.023,0.459 +/- 0.046,0.808 +/- 0.105,3
TCGA-BRCA,pnet,100,0.586 +/- 0.065,0.591 +/- 0.059,0.743 +/- 0.045,0.569 +/- 0.096,0.781 +/- 0.133,3
