dataset,model,n_omics,omic_combination,balanced_accuracy,macro_f1,accuracy,mcc,n_units
TCGA-BRCA,integrao,1,cnv,0.461 +/- 0.016,0.410 +/- 0.017,0.531 +/- 0.017,0.244 +/- 0.018,3
TCGA-BRCA,integrao,1,dnam,0.598 +/- 0.007,0.589 +/- 0.008,0.623 +/- 0.010,0.448 +/- 0.006,3
TCGA-BRCA,integrao,1,mirna,0.739 +/- 0.004,0.717 +/- 0.002,0.750 +/- 0.004,0.625 +/- 0.005,3
TCGA-BRCA,integrao,1,mrna,0.789 +/- 0.004,0.767 +/- 0.008,0.778 +/- 0.008,0.668 +/- 0.010,3
TCGA-BRCA,integrao,1,rppa,0.701 +/- 0.009,0.682 +/- 0.006,0.701 +/- 0.001,0.564 +/- 0.005,3
TCGA-BRCA,integrao,2,dnam+cnv,0.672 +/- 0.011,0.638 +/- 0.010,0.665 +/- 0.008,0.501 +/- 0.011,3
TCGA-BRCA,integrao,2,dnam+mirna,0.791 +/- 0.006,0.766 +/- 0.005,0.787 +/- 0.004,0.678 +/- 0.005,3
TCGA-BRCA,integrao,2,dnam+rppa,0.792 +/- 0.004,0.769 +/- 0.003,0.779 +/- 0.002,0.667 +/- 0.004,3
TCGA-BRCA,integrao,2,mirna+cnv,0.708 +/- 0.017,0.674 +/- 0.013,0.710 +/- 0.011,0.568 +/- 0.016,3
TCGA-BRCA,integrao,2,mrna+cnv,0.749 +/- 0.007,0.715 +/- 0.006,0.735 +/- 0.002,0.606 +/- 0.003,3
TCGA-BRCA,integrao,2,mrna+dnam,0.828 +/- 0.006,0.802 +/- 0.004,0.809 +/- 0.003,0.715 +/- 0.006,3
TCGA-BRCA,integrao,2,mrna+mirna,0.835 +/- 0.004,0.809 +/- 0.004,0.824 +/- 0.002,0.736 +/- 0.003,3
TCGA-BRCA,integrao,2,mrna+rppa,0.851 +/- 0.003,0.826 +/- 0.003,0.833 +/- 0.003,0.748 +/- 0.005,3
TCGA-BRCA,integrao,2,rppa+cnv,0.680 +/- 0.003,0.650 +/- 0.005,0.687 +/- 0.006,0.533 +/- 0.008,3
TCGA-BRCA,integrao,2,rppa+mirna,0.823 +/- 0.002,0.799 +/- 0.005,0.818 +/- 0.004,0.724 +/- 0.006,3
TCGA-BRCA,integrao,3,dnam+mirna+cnv,0.786 +/- 0.006,0.758 +/- 0.005,0.775 +/- 0.002,0.663 +/- 0.002,3
TCGA-BRCA,integrao,3,dnam+rppa+cnv,0.777 +/- 0.009,0.754 +/- 0.011,0.771 +/- 0.009,0.653 +/- 0.013,3
TCGA-BRCA,integrao,3,dnam+rppa+mirna,0.841 +/- 0.006,0.819 +/- 0.005,0.830 +/- 0.006,0.742 +/- 0.009,3
TCGA-BRCA,integrao,3,mrna+dnam+cnv,0.814 +/- 0.003,0.786 +/- 0.002,0.791 +/- 0.002,0.689 +/- 0.003,3
TCGA-BRCA,integrao,3,mrna+dnam+mirna,0.844 +/- 0.004,0.819 +/- 0.005,0.830 +/- 0.005,0.744 +/- 0.006,3
TCGA-BRCA,integrao,3,mrna+dnam+rppa,0.855 +/- 0.005,0.833 +/- 0.004,0.836 +/- 0.003,0.753 +/- 0.005,3
TCGA-BRCA,integrao,3,mrna+mirna+cnv,0.811 +/- 0.004,0.777 +/- 0.005,0.795 +/- 0.004,0.693 +/- 0.006,3
