dataset,method,omic_removed,balanced_accuracy,delta_balanced_accuracy,delta_macro_f1
TCGA-BRCA,logreg_early,mrna,0.8075,-0.0277,-0.0295
TCGA-BRCA,logreg_early,dnam,0.8419,0.0068,0.0031
TCGA-BRCA,logreg_early,rppa,0.8221,-0.013,-0.0189
TCGA-BRCA,logreg_early,mirna,0.8532,0.018,0.0194
TCGA-BRCA,logreg_early,cnv,0.8456,0.0105,0.0084
TCGA-BRCA,svm_early,mrna,0.8158,-0.0211,-0.0231
TCGA-BRCA,svm_early,dnam,0.8451,0.0082,0.0082
TCGA-BRCA,svm_early,rppa,0.8327,-0.0042,-0.0107
TCGA-BRCA,svm_early,mirna,0.8364,-0.0005,-0.0051
TCGA-BRCA,svm_early,cnv,0.8595,0.0226,0.0218
TCGA-BRCA,pca_logreg,mrna,0.8097,-0.0236,-0.0319
TCGA-BRCA,pca_logreg,dnam,0.8497,0.0164,0.0124
TCGA-BRCA,pca_logreg,rppa,0.829,-0.0043,-0.0131
TCGA-BRCA,pca_logreg,mirna,0.8366,0.0033,-0.0006
TCGA-BRCA,pca_logreg,cnv,0.8334,0.0001,-0.0074
TCGA-BRCA,logreg_late,mrna,0.8432,-0.0261,-0.0258
TCGA-BRCA,logreg_late,dnam,0.8666,-0.0026,-0.0016
TCGA-BRCA,logreg_late,rppa,0.8501,-0.0192,-0.0187
TCGA-BRCA,logreg_late,mirna,0.8573,-0.012,-0.0102
TCGA-BRCA,logreg_late,cnv,0.871,0.0017,0.0079
TCGA-BRCA,pnet,mrna,0.7749,-0.0184,-0.0163
TCGA-BRCA,pnet,dnam,0.7761,-0.0172,-0.0129
TCGA-BRCA,pnet,rppa,0.7791,-0.0141,-0.0162
TCGA-BRCA,pnet,mirna,0.8228,0.0295,0.0167
TCGA-BRCA,pnet,cnv,0.7867,-0.0065,0.001
TCGA-BRCA,mofa,mrna,0.7603,-0.0557,-0.0453
TCGA-BRCA,mofa,dnam,0.8203,0.0042,0.0012
TCGA-BRCA,mofa,rppa,0.7917,-0.0243,-0.0278
TCGA-BRCA,mofa,mirna,0.8023,-0.0137,-0.0144
TCGA-BRCA,mofa,cnv,0.7915,-0.0246,-0.0258
TCGA-BRCA,integrao,mrna,0.8302,-0.021,-0.0206
TCGA-BRCA,integrao,dnam,0.8426,-0.0087,-0.0133
TCGA-BRCA,integrao,rppa,0.839,-0.0122,-0.0146
TCGA-BRCA,integrao,mirna,0.8379,-0.0134,-0.0142
TCGA-BRCA,integrao,cnv,0.8649,0.0137,0.0168
TCGA-LGG,logreg_early,mrna,0.6422,-0.0177,-0.0174
TCGA-LGG,logreg_early,dnam,0.6338,-0.0262,-0.0266
TCGA-LGG,logreg_early,rppa,0.6669,0.007,0.0073
TCGA-LGG,logreg_early,mirna,0.6318,-0.0282,-0.0281
TCGA-LGG,logreg_early,cnv,0.6559,-0.004,-0.0049
TCGA-LGG,svm_early,mrna,0.6614,-0.0277,-0.0288
TCGA-LGG,svm_early,dnam,0.6853,-0.0038,-0.0051
TCGA-LGG,svm_early,rppa,0.6851,-0.0041,-0.0038
TCGA-LGG,svm_early,mirna,0.682,-0.0071,-0.0079
TCGA-LGG,svm_early,cnv,0.6873,-0.0018,-0.0015
TCGA-LGG,pca_logreg,mrna,0.6512,-0.0086,-0.0093
TCGA-LGG,pca_logreg,dnam,0.6503,-0.0095,-0.0104
TCGA-LGG,pca_logreg,rppa,0.6531,-0.0067,-0.0049
TCGA-LGG,pca_logreg,mirna,0.6601,0.0002,-0.0
TCGA-LGG,pca_logreg,cnv,0.662,0.0021,0.0027
TCGA-LGG,logreg_late,mrna,0.6722,-0.0099,-0.0104
TCGA-LGG,logreg_late,dnam,0.6828,0.0007,0.0005
TCGA-LGG,logreg_late,rppa,0.689,0.0069,0.0078
TCGA-LGG,logreg_late,mirna,0.6909,0.0088,0.0084
TCGA-LGG,logreg_late,cnv,0.7051,0.023,0.0246
TCGA-LGG,pnet,mrna,0.6531,-0.0339,-0.0353
TCGA-LGG,pnet,dnam,0.6882,0.0012,0.0017
TCGA-LGG,pnet,rppa,0.6937,0.0068,0.0065
TCGA-LGG,pnet,mirna,0.6966,0.0097,0.0094
TCGA-LGG,pnet,cnv,0.6824,-0.0045,-0.0066
TCGA-LGG,mofa,mrna,0.6728,-0.013,-0.0158
TCGA-LGG,mofa,dnam,0.6932,0.0073,0.0082
TCGA-LGG,mofa,rppa,0.69,0.0042,0.0044
TCGA-LGG,mofa,mirna,0.6797,-0.0062,-0.0054
TCGA-LGG,mofa,cnv,0.6469,-0.0389,-0.0363
TCGA-LGG,integrao,mrna,0.6482,-0.0178,-0.0177
TCGA-LGG,integrao,dnam,0.6586,-0.0073,-0.0071
TCGA-LGG,integrao,rppa,0.6677,0.0018,0.002
TCGA-LGG,integrao,mirna,0.6733,0.0073,0.0077
