dataset,method,balanced_accuracy_full_overlap,balanced_accuracy_most_incomplete,drop,slope_per_unit_frac
TCGA-BRCA,mofa,0.764,0.7723,-0.0083,0.0068
TCGA-BRCA,pca_logreg,0.8445,0.8364,0.0081,-0.0062
TCGA-BRCA,logreg_late,0.8767,0.867,0.0097,-0.0088
TCGA-BRCA,svm_early,0.7792,0.7647,0.0145,-0.0097
TCGA-BRCA,logreg_early,0.8719,0.8465,0.0255,-0.0218
TCGA-BRCA,pnet,0.8397,0.784,0.0557,-0.0414
TCGA-KIPAN,svm_early,0.8917,0.9248,-0.0331,0.0388
TCGA-KIPAN,logreg_late,0.9689,0.971,-0.0021,0.0018
TCGA-KIPAN,logreg_early,0.9773,0.957,0.0203,-0.0225
TCGA-KIPAN,pnet,0.9562,0.9077,0.0485,-0.0521
TCGA-KIPAN,pca_logreg,0.9427,0.8892,0.0535,-0.0541
TCGA-KIPAN,mofa,0.8632,0.6401,0.2231,-0.193
TCGA-LGG,pnet,0.6434,0.6724,-0.029,0.0224
TCGA-LGG,logreg_early,0.6343,0.6608,-0.0265,0.0256
TCGA-LGG,pca_logreg,0.6355,0.6565,-0.0211,0.0215
TCGA-LGG,svm_early,0.6196,0.6387,-0.019,0.0185
TCGA-LGG,logreg_late,0.6648,0.6819,-0.0171,0.0202
TCGA-LGG,mofa,0.6677,0.6823,-0.0146,0.0172
TCGA-LGG,integrao,0.6604,0.6667,-0.0062,0.0111
