dataset,method,feature_fraction_per_omic,balanced_accuracy,macro_f1,accuracy,mcc,n_evaluation_units
TCGA-BRCA,logreg_early,1e-05,0.717 +/- 0.006,0.672 +/- 0.004,0.669 +/- 0.007,0.523 +/- 0.007,3
TCGA-BRCA,logreg_early,0.0001,0.751 +/- 0.006,0.717 +/- 0.004,0.718 +/- 0.002,0.582 +/- 0.003,3
TCGA-BRCA,logreg_early,0.001,0.805 +/- 0.002,0.792 +/- 0.004,0.786 +/- 0.004,0.673 +/- 0.005,3
TCGA-BRCA,logreg_early,0.01,0.836 +/- 0.003,0.832 +/- 0.005,0.858 +/- 0.009,0.777 +/- 0.014,3
TCGA-BRCA,logreg_early,0.02,0.835 +/- 0.001,0.833 +/- 0.001,0.861 +/- 0.002,0.781 +/- 0.002,3
TCGA-BRCA,logreg_early,0.05,0.842 +/- 0.006,0.840 +/- 0.005,0.866 +/- 0.007,0.788 +/- 0.010,3
TCGA-BRCA,logreg_early,0.1,0.846 +/- 0.010,0.847 +/- 0.004,0.872 +/- 0.003,0.798 +/- 0.004,3
TCGA-BRCA,logreg_early,0.2,0.833 +/- 0.018,0.838 +/- 0.013,0.866 +/- 0.008,0.787 +/- 0.014,3
TCGA-BRCA,logreg_early,0.25,0.829 +/- 0.015,0.834 +/- 0.010,0.863 +/- 0.005,0.781 +/- 0.008,3
TCGA-BRCA,logreg_early,0.5,0.815 +/- 0.018,0.821 +/- 0.014,0.854 +/- 0.009,0.767 +/- 0.014,3
TCGA-BRCA,logreg_early,0.75,0.804 +/- 0.012,0.813 +/- 0.011,0.848 +/- 0.008,0.757 +/- 0.012,3
TCGA-BRCA,logreg_early,1.0,0.800 +/- 0.009,0.810 +/- 0.008,0.847 +/- 0.003,0.755 +/- 0.004,3
TCGA-BRCA,logreg_late,1e-05,0.701 +/- 0.001,0.633 +/- 0.006,0.603 +/- 0.012,0.484 +/- 0.007,3
TCGA-BRCA,logreg_late,0.0001,0.771 +/- 0.001,0.731 +/- 0.002,0.723 +/- 0.002,0.607 +/- 0.002,3
TCGA-BRCA,logreg_late,0.001,0.831 +/- 0.004,0.812 +/- 0.005,0.804 +/- 0.003,0.704 +/- 0.004,3
TCGA-BRCA,logreg_late,0.01,0.856 +/- 0.007,0.849 +/- 0.008,0.864 +/- 0.009,0.786 +/- 0.014,3
TCGA-BRCA,logreg_late,0.02,0.860 +/- 0.004,0.855 +/- 0.005,0.873 +/- 0.007,0.800 +/- 0.010,3
TCGA-BRCA,logreg_late,0.05,0.868 +/- 0.002,0.861 +/- 0.002,0.876 +/- 0.003,0.805 +/- 0.004,3
TCGA-BRCA,logreg_late,0.1,0.859 +/- 0.003,0.859 +/- 0.005,0.877 +/- 0.003,0.804 +/- 0.004,3
TCGA-BRCA,logreg_late,0.2,0.855 +/- 0.001,0.858 +/- 0.003,0.876 +/- 0.003,0.803 +/- 0.005,3
TCGA-BRCA,logreg_late,0.25,0.857 +/- 0.002,0.861 +/- 0.003,0.879 +/- 0.003,0.807 +/- 0.004,3
TCGA-BRCA,logreg_late,0.5,0.839 +/- 0.008,0.846 +/- 0.006,0.870 +/- 0.004,0.792 +/- 0.007,3
TCGA-BRCA,logreg_late,0.75,0.834 +/- 0.005,0.842 +/- 0.003,0.866 +/- 0.001,0.786 +/- 0.002,3
TCGA-BRCA,logreg_late,1.0,0.830 +/- 0.003,0.839 +/- 0.005,0.861 +/- 0.005,0.778 +/- 0.007,3
TCGA-BRCA,mofa,1e-05,0.398 +/- 0.009,0.264 +/- 0.004,0.279 +/- 0.002,0.147 +/- 0.010,3
TCGA-BRCA,mofa,0.0001,0.576 +/- 0.015,0.508 +/- 0.027,0.509 +/- 0.018,0.328 +/- 0.015,3
TCGA-BRCA,mofa,0.001,0.639 +/- 0.057,0.599 +/- 0.068,0.622 +/- 0.065,0.467 +/- 0.068,3
TCGA-BRCA,mofa,0.01,0.746 +/- 0.010,0.710 +/- 0.011,0.734 +/- 0.011,0.612 +/- 0.013,3
TCGA-BRCA,mofa,0.02,0.747 +/- 0.014,0.714 +/- 0.015,0.756 +/- 0.006,0.640 +/- 0.009,3
TCGA-BRCA,mofa,0.05,0.759 +/- 0.006,0.729 +/- 0.006,0.767 +/- 0.003,0.657 +/- 0.004,3
TCGA-BRCA,mofa,0.1,0.758 +/- 0.004,0.731 +/- 0.003,0.764 +/- 0.005,0.651 +/- 0.005,3
TCGA-BRCA,mofa,0.2,0.757 +/- 0.004,0.725 +/- 0.004,0.765 +/- 0.006,0.650 +/- 0.007,3
TCGA-BRCA,mofa,0.25,0.754 +/- 0.004,0.721 +/- 0.003,0.761 +/- 0.003,0.646 +/- 0.005,3
TCGA-BRCA,mofa,0.5,0.756 +/- 0.006,0.720 +/- 0.007,0.762 +/- 0.005,0.647 +/- 0.007,3
TCGA-BRCA,mofa,0.75,0.753 +/- 0.002,0.715 +/- 0.004,0.757 +/- 0.004,0.642 +/- 0.005,3
TCGA-BRCA,mofa,1.0,0.744 +/- 0.005,0.706 +/- 0.005,0.754 +/- 0.004,0.637 +/- 0.006,3
TCGA-BRCA,pnet,1e-05,0.637 +/- 0.003,0.626 +/- 0.001,0.738 +/- 0.001,0.578 +/- 0.002,3
TCGA-BRCA,pnet,0.0001,0.675 +/- 0.002,0.683 +/- 0.005,0.762 +/- 0.002,0.615 +/- 0.002,3
TCGA-BRCA,pnet,0.001,0.768 +/- 0.010,0.776 +/- 0.009,0.806 +/- 0.001,0.688 +/- 0.003,3
TCGA-BRCA,pnet,0.01,0.815 +/- 0.008,0.823 +/- 0.005,0.844 +/- 0.005,0.751 +/- 0.008,3
TCGA-BRCA,pnet,0.02,0.793 +/- 0.017,0.807 +/- 0.010,0.834 +/- 0.006,0.733 +/- 0.011,3
TCGA-BRCA,pnet,0.05,0.814 +/- 0.019,0.826 +/- 0.013,0.850 +/- 0.008,0.759 +/- 0.015,3
TCGA-BRCA,pnet,0.1,0.817 +/- 0.012,0.828 +/- 0.008,0.853 +/- 0.007,0.765 +/- 0.011,3
TCGA-BRCA,pnet,0.2,0.813 +/- 0.017,0.823 +/- 0.010,0.849 +/- 0.007,0.758 +/- 0.013,3
TCGA-BRCA,pnet,0.25,0.808 +/- 0.014,0.818 +/- 0.007,0.846 +/- 0.005,0.753 +/- 0.009,3
TCGA-BRCA,svm_early,1e-05,0.692 +/- 0.002,0.636 +/- 0.002,0.637 +/- 0.005,0.497 +/- 0.004,3
TCGA-BRCA,svm_early,0.0001,0.717 +/- 0.004,0.680 +/- 0.003,0.684 +/- 0.003,0.552 +/- 0.004,3
TCGA-BRCA,svm_early,0.001,0.727 +/- 0.005,0.703 +/- 0.004,0.718 +/- 0.008,0.595 +/- 0.011,3
TCGA-BRCA,svm_early,0.01,0.746 +/- 0.008,0.724 +/- 0.007,0.761 +/- 0.007,0.651 +/- 0.010,3
TCGA-BRCA,svm_early,0.02,0.744 +/- 0.003,0.722 +/- 0.003,0.763 +/- 0.003,0.653 +/- 0.005,3
TCGA-BRCA,svm_early,0.05,0.751 +/- 0.004,0.731 +/- 0.004,0.768 +/- 0.003,0.663 +/- 0.004,3
TCGA-BRCA,svm_early,0.1,0.741 +/- 0.006,0.724 +/- 0.007,0.764 +/- 0.004,0.656 +/- 0.006,3
TCGA-BRCA,svm_early,0.2,0.730 +/- 0.007,0.716 +/- 0.005,0.757 +/- 0.005,0.648 +/- 0.008,3
